RESULTADOS,tourism_5.txt
C,5,m,3,Runs,10,Seed,1765131360

=== HILL CLIMBING ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Viz1_Iter500,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Viz1_Iter1000,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Viz1_Iter2000,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Viz2_Iter500,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Viz2_Iter1000,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Viz2_Iter2000,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000


=== EVOLUTIVO ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio

# Variando Populacao
Pop30_Gen100,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Pop50_Gen100,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Pop100_Gen100,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000

# Variando Probabilidades
Cx0.70_Mut0.05,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.70_Mut0.10,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.70_Mut0.20,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.80_Mut0.05,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.80_Mut0.10,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.80_Mut0.20,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.90_Mut0.05,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.90_Mut0.10,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cx0.90_Mut0.20,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000

# Comparando Selecoes
Sel_Torneio,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Sel_Roleta,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000

# Comparando Crossovers
Cross_Uniforme,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Cross_UmPonto,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000


=== HIBRIDOS ===
Configuracao,Run1,Run2,Run3,Run4,Run5,Run6,Run7,Run8,Run9,Run10,Melhor,Pior,Media,Desvio
Hibrido1_EA+HC,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Hibrido2_HC+EA,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000
Hibrido3_EA_Refinado,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,72.2799,0.0000


=== COMPARACAO FINAL ===
Algoritmo,Melhor,Pior,Media,Desvio
Melhor HC,72.2799,72.2799,72.2799,0.0000
Melhor EA,72.2799,72.2799,72.2799,0.0000
Hibrido 1,72.2799,72.2799,72.2799,0.0000
Hibrido 2,72.2799,72.2799,72.2799,0.0000
